,date,open,high,low,close,volume
1330,2022-08-23,21404.0,21672.0,20899.0,21520.0,1237.15547461
1331,2022-08-24,21523.0,21892.0,21142.0,21372.0,1825.65585841
1332,2022-08-25,21364.0,21813.0,21319.0,21571.0,1134.96366241
1333,2022-08-26,21550.0,21870.0,20119.0,20250.0,3482.0913778
1334,2022-08-27,20242.0,20376.0,19766.0,20045.0,1322.83765891
1335,2022-08-28,20044.0,20159.0,19526.0,19557.0,883.35771116
1336,2022-08-29,19571.0,20415.0,19557.0,20302.0,1226.5339045
1337,2022-08-30,20300.0,20575.0,19552.0,19819.0,2061.62816733
1338,2022-08-31,19836.0,20490.0,19822.0,20059.0,2271.16555773
1339,2022-09-01,20049.0,20202.0,19573.0,20128.0,1841.61890225
1340,2022-09-02,20133.0,20440.0,19762.0,19959.0,1704.54970941
1341,2022-09-03,19950.0,20053.0,19667.0,19840.0,454.45221631
1342,2022-09-04,19840.0,20025.0,19586.0,20007.0,468.46460815
1343,2022-09-05,20014.0,20051.0,19634.0,19794.0,975.96352852
1344,2022-09-06,19799.0,20181.0,18669.0,18789.0,3216.97354596
1345,2022-09-07,18808.0,19456.0,18540.0,19276.0,1946.27402334
1346,2022-09-08,19301.0,19454.0,19023.0,19322.0,1759.19295086
1347,2022-09-09,19327.0,21610.0,19303.0,21371.0,4009.32373236
1348,2022-09-10,21371.0,21814.0,21125.0,21672.0,1355.39296702
1349,2022-09-11,21663.0,21871.0,21360.0,21835.0,844.39459098
1350,2022-09-12,21836.0,22485.0,21565.0,22401.0,2496.98699671
1351,2022-09-13,22396.0,22781.0,19862.0,20177.0,3927.08003147
1352,2022-09-14,20175.0,20526.0,19623.0,20233.0,2793.90630535
1353,2022-09-15,20226.0,20432.0,19500.0,19691.0,2531.5711628
1354,2022-09-16,19704.0,19887.0,19330.0,19802.0,2514.42684614
1355,2022-09-17,19802.0,20187.0,19757.0,20114.0,947.27782708
1356,2022-09-18,20116.0,20116.0,19343.0,19419.0,1609.63965374
1357,2022-09-19,19418.0,19679.0,18271.0,19538.0,3418.2169402
1358,2022-09-20,19535.0,19634.0,18717.0,18878.0,2544.25288865
1359,2022-09-21,18877.0,19902.0,18157.0,18466.0,5332.93776764
1360,2022-09-22,18458.0,19541.0,18368.0,19403.0,2607.0417597
1361,2022-09-23,19411.0,19491.0,18533.0,19294.0,2593.18338023
1362,2022-09-24,19291.0,19309.0,18817.0,18921.0,922.02394143
1363,2022-09-25,18919.0,19182.0,18636.0,18810.0,979.44306377
1364,2022-09-26,18809.0,19313.0,18690.0,19226.0,3167.38799752
1365,2022-09-27,19233.0,20381.0,18822.0,19075.0,4423.71693902
1366,2022-09-28,19085.0,19770.0,18461.0,19413.0,3817.64021997
1367,2022-09-29,19413.0,19630.0,18852.0,19592.0,1812.62118977
